model,split,run,id,tier,family,cid,faithful,status
qwen3-max,multivariate,1,T4-3c-9000,Hard,agg_margin,agg_margin,1,ok
qwen3-max,multivariate,1,T4-3c-9000,Hard,budget_cap,budget_cap,1,ok
qwen3-max,multivariate,1,T4-3c-9000,Hard,sum_floor,sum_floor,1,ok
qwen3-max,multivariate,1,T4-3c-9001,Hard,order_rel,order_rel,1,ok
qwen3-max,multivariate,1,T4-3c-9001,Hard,budget_cap,budget_cap,1,ok
qwen3-max,multivariate,1,T4-3c-9001,Hard,sum_floor,sum_floor,1,ok
qwen3-max,multivariate,1,T4-3c-9002,Hard,budget_cap,budget_cap,1,ok
qwen3-max,multivariate,1,T4-3c-9002,Hard,sum_floor,sum_floor,1,ok
qwen3-max,multivariate,1,T4-3c-9002,Hard,b_floor,b_floor,1,ok
qwen3-max,multivariate,1,T4-3c-9003,Hard,agg_margin,agg_margin,1,ok
qwen3-max,multivariate,1,T4-3c-9003,Hard,order_rel,order_rel,1,ok
qwen3-max,multivariate,1,T4-3c-9003,Hard,budget_cap,budget_cap,1,ok
qwen3-max,multivariate,1,T4-3c-9004,Hard,order_rel,order_rel,1,ok
qwen3-max,multivariate,1,T4-3c-9004,Hard,sum_floor,sum_floor,1,ok
qwen3-max,multivariate,1,T4-3c-9004,Hard,a_floor,a_floor,1,ok
qwen3-max,multivariate,1,T4-3c-9005,Hard,order_rel,order_rel,1,ok
qwen3-max,multivariate,1,T4-3c-9005,Hard,sum_floor,sum_floor,1,ok
qwen3-max,multivariate,1,T4-3c-9005,Hard,b_floor,b_floor,1,ok
qwen3-max,multivariate,1,T4-3c-9006,Hard,budget_cap,budget_cap,1,ok
qwen3-max,multivariate,1,T4-3c-9006,Hard,order_rel,order_rel,1,ok
qwen3-max,multivariate,1,T4-3c-9006,Hard,basket_cap,basket_cap,1,ok
qwen3-max,multivariate,1,T4-3c-9007,Hard,basket_cap,basket_cap,1,ok
qwen3-max,multivariate,1,T4-3c-9007,Hard,sum_floor,sum_floor,1,ok
qwen3-max,multivariate,1,T4-3c-9007,Hard,a_floor,a_floor,1,ok
qwen3-max,multivariate,1,T4-3c-9008,Hard,budget_cap,budget_cap,1,ok
qwen3-max,multivariate,1,T4-3c-9008,Hard,sum_floor,sum_floor,1,ok
qwen3-max,multivariate,1,T4-3c-9008,Hard,a_floor,a_floor,1,ok
qwen3-max,multivariate,1,T4-3c-9009,Hard,budget_cap,budget_cap,1,ok
qwen3-max,multivariate,1,T4-3c-9009,Hard,sum_floor,sum_floor,1,ok
qwen3-max,multivariate,1,T4-3c-9009,Hard,order_rel,order_rel,1,ok
qwen3-max,multivariate,1,T4-3c-9010,Hard,budget_cap,budget_cap,1,ok
qwen3-max,multivariate,1,T4-3c-9010,Hard,order_rel,order_rel,1,ok
qwen3-max,multivariate,1,T4-3c-9010,Hard,agg_margin,agg_margin,1,ok
qwen3-max,multivariate,1,T4-3c-9011,Hard,agg_margin,agg_margin,1,ok
qwen3-max,multivariate,1,T4-3c-9011,Hard,sum_floor,sum_floor,1,ok
qwen3-max,multivariate,1,T4-3c-9011,Hard,budget_cap,budget_cap,1,ok
qwen3-max,multivariate,1,T4-3c-9012,Hard,sum_floor,sum_floor,1,ok
qwen3-max,multivariate,1,T4-3c-9012,Hard,order_rel,order_rel,1,ok
qwen3-max,multivariate,1,T4-3c-9012,Hard,basket_cap,basket_cap,1,ok
qwen3-max,multivariate,1,T4-3c-9013,Hard,order_rel,order_rel,1,ok
qwen3-max,multivariate,1,T4-3c-9013,Hard,agg_margin,agg_margin,1,ok
qwen3-max,multivariate,1,T4-3c-9013,Hard,a_cap,a_cap,1,ok
qwen3-max,multivariate,1,T4-3c-9014,Hard,basket_cap,basket_cap,1,ok
qwen3-max,multivariate,1,T4-3c-9014,Hard,budget_cap,budget_cap,1,ok
qwen3-max,multivariate,1,T4-3c-9014,Hard,order_rel,order_rel,1,ok
qwen3-max,multivariate,1,T4-3c-9015,Hard,agg_margin,agg_margin,1,ok
qwen3-max,multivariate,1,T4-3c-9015,Hard,budget_cap,budget_cap,1,ok
qwen3-max,multivariate,1,T4-3c-9015,Hard,sum_floor,sum_floor,1,ok
qwen3-max,multivariate,1,T4-3c-9016,Hard,agg_margin,agg_margin,1,ok
qwen3-max,multivariate,1,T4-3c-9016,Hard,order_rel,order_rel,1,ok
qwen3-max,multivariate,1,T4-3c-9016,Hard,a_floor,a_floor,1,ok
qwen3-max,multivariate,1,T4-3c-9017,Hard,budget_cap,budget_cap,1,ok
qwen3-max,multivariate,1,T4-3c-9017,Hard,order_rel,order_rel,1,ok
qwen3-max,multivariate,1,T4-3c-9017,Hard,b_cap,b_cap,1,ok
qwen3-max,multivariate,1,T4-3c-9018,Hard,order_rel,order_rel,1,ok
qwen3-max,multivariate,1,T4-3c-9018,Hard,budget_cap,budget_cap,1,ok
qwen3-max,multivariate,1,T4-3c-9018,Hard,a_floor,a_floor,1,ok
qwen3-max,multivariate,1,T4-3c-9019,Hard,order_rel,order_rel,1,ok
qwen3-max,multivariate,1,T4-3c-9019,Hard,budget_cap,budget_cap,1,ok
qwen3-max,multivariate,1,T4-3c-9019,Hard,sum_floor,sum_floor,1,ok
qwen3-max,multivariate,1,T4-3c-9020,Hard,sum_floor,sum_floor,1,ok
qwen3-max,multivariate,1,T4-3c-9020,Hard,agg_margin,agg_margin,1,ok
qwen3-max,multivariate,1,T4-3c-9020,Hard,a_floor,a_floor,1,ok
qwen3-max,multivariate,1,T4-3c-9021,Hard,agg_margin,agg_margin,1,ok
qwen3-max,multivariate,1,T4-3c-9021,Hard,budget_cap,budget_cap,1,ok
qwen3-max,multivariate,1,T4-3c-9021,Hard,order_rel,order_rel,1,ok
qwen3-max,multivariate,1,T4-3c-9022,Hard,order_rel,order_rel,1,ok
qwen3-max,multivariate,1,T4-3c-9022,Hard,agg_margin,agg_margin,1,ok
qwen3-max,multivariate,1,T4-3c-9022,Hard,a_floor,a_floor,1,ok
qwen3-max,multivariate,1,T4-3c-9023,Hard,basket_cap,basket_cap,1,ok
qwen3-max,multivariate,1,T4-3c-9023,Hard,budget_cap,budget_cap,1,ok
qwen3-max,multivariate,1,T4-3c-9023,Hard,sum_floor,sum_floor,1,ok
