model,split,run,n_instances,n_inst_violated,instance_rate_pct,n_rules_checked,n_rules_violated,per_rule_rate_pct,mean_rules_per_instance,temperature
deepseek-v3.2,multi,1,150,12,8.0,775,12,1.55,5.17,0.0
deepseek-v3.2,multi,2,150,12,8.0,775,12,1.55,5.17,0.0
deepseek-v3.2,multi,3,150,16,10.67,775,17,2.19,5.17,0.0
deepseek-v3.2,multi,4,150,15,10.0,775,15,1.94,5.17,0.0
deepseek-v3.2,multi,5,150,17,11.33,775,17,2.19,5.17,0.0
deepseek-v3.2,identification,1,150,11,7.33,775,11,1.42,5.17,0.0
deepseek-v3.2,identification,2,150,13,8.67,775,13,1.68,5.17,0.0
deepseek-v3.2,identification,3,150,10,6.67,775,11,1.42,5.17,0.0
deepseek-v3.2,identification,4,150,13,8.67,775,13,1.68,5.17,0.0
deepseek-v3.2,identification,5,150,10,6.67,775,10,1.29,5.17,0.0
deepseek-v3.2,multivariate,1,174,5,2.87,938,5,0.53,5.39,0.0
deepseek-v3.2,multivariate,2,174,2,1.15,938,2,0.21,5.39,0.0
deepseek-v3.2,multivariate,3,174,6,3.45,938,6,0.64,5.39,0.0
deepseek-v3.2,multivariate,4,174,4,2.3,938,4,0.43,5.39,0.0
deepseek-v3.2,multivariate,5,174,10,5.75,938,10,1.07,5.39,0.0
deepseek-v3.2,single,1,24,7,29.17,43,9,20.93,1.79,0.0
deepseek-v3.2,single,2,24,4,16.67,43,5,11.63,1.79,0.0
deepseek-v3.2,single,3,24,6,25.0,43,8,18.6,1.79,0.0
deepseek-v3.2,single,4,24,2,8.33,43,3,6.98,1.79,0.0
deepseek-v3.2,single,5,24,5,20.83,43,6,13.95,1.79,0.0
